lucode,load_N,eff_N,crit_len_N,proportion_subsurface_n,load_P,eff_P,crit_len_P,usle_c,usle_p,lulc_veg,root_depth,Kc,Factor
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0.1,100,0,1.5,0.2,100,0,0.001,0,0,0.84,1
2,6.5,0.2,100,0,1,0.4,100,0.04,0.001,1,2000,0.9,1
3,0,0,100,0,0,0,100,0,1,0,0,1.25,1
4,9.73,0.8,100,0,0.14,0.8,100,0.004,1,1,1500,0.3,1
5,9.73,0.8,100,0,0.14,0.8,100,0.003,1,1,2500,1,1
6,1.54,0.8,100,0,0.275,0.6,100,0.007,1,1,2500,0.9,1
7,2,0.6,100,0,0.25,0.6,100,0.009,1,1,3000,1,1
8,1.5,0.8,100,0,0.5,0.5,100,0.004,1,1,2000,0.8,1
9,3.4,0.1,100,0,0.1,0.6,100,1,1,0,0,0.5,1
10,10,0.3,100,0,0.99,0.4,100,0.24,0.5,1,1000,0.8,1
11,10,0.8,100,0,0.99,0.5,100,0.004,0.5,1,2000,0.9,1
12,13,0.1,100,0,1.5,0.2,100,0,0.001,1,2000,0.8,1
100,13.3479,0,100,0,1.462725,0.2,100,0.2462635,0.001,0,0,0.71575,0.2485
200,6.8479,0.07575,100,0,0.962725,0.4,100,0.2862635,0.001,1,1254.5,0.77575,0.2485
300,0.3479,0,100,0,0,0,100,0.2462635,1,0,0,1.12575,0.2485
400,10.0779,0.67575,100,0,0.102725,0.8,100,0.2502635,1,1,754.5,0.17575,0.2485
500,10.0779,0.67575,100,0,0.102725,0.8,100,0.2492635,1,1,1754.5,0.87575,0.2485
600,1.8879,0.67575,100,0,0.237725,0.6,100,0.2532635,1,1,1754.5,0.77575,0.2485
700,2.3479,0.47575,100,0,0.212725,0.6,100,0.2552635,1,1,2254.5,0.87575,0.2485
800,1.8479,0.67575,100,0,0.462725,0.5,100,0.2502635,1,1,1254.5,0.67575,0.2485
900,3.7479,0,100,0,0.062725,0.6,100,1,1,0,0,0.37575,0.2485
1000,10.3479,0.17575,100,0,0.952725,0.4,100,0.4862635,0.5,1,254.5,0.67575,0.2485
1100,10.3479,0.67575,100,0,0.952725,0.5,100,0.2502635,0.5,1,1254.5,0.77575,0.2485
1200,13.3479,0,100,0,1.462725,0.2,100,0.2462635,0.001,1,1254.5,0.67575,0.2485
10000,13.0686,0.0755,100,0,1.49265,0.2,100,0.048559,0.001,0,0,0.8155,0.049
20000,6.5686,0.1755,100,0,0.99265,0.4,100,0.088559,0.001,1,1853,0.8755,0.049
30000,0.0686,0,100,0,0,0,100,0.048559,1,0,0,1.2255,0.049
40000,9.7986,0.7755,100,0,0.13265,0.8,100,0.052559,1,1,1353,0.2755,0.049
50000,9.7986,0.7755,100,0,0.13265,0.8,100,0.051559,1,1,2353,0.9755,0.049
60000,1.6086,0.7755,100,0,0.26765,0.6,100,0.055559,1,1,2353,0.8755,0.049
70000,2.0686,0.5755,100,0,0.24265,0.6,100,0.057559,1,1,2853,0.9755,0.049
80000,1.5686,0.7755,100,0,0.49265,0.5,100,0.052559,1,1,1853,0.7755,0.049
90000,3.4686,0.0755,100,0,0.09265,0.6,100,1,1,0,0,0.4755,0.049
100000,10.0686,0.2755,100,0,0.98265,0.4,100,0.288559,0.5,1,853,0.7755,0.049
110000,10.0686,0.7755,100,0,0.98265,0.5,100,0.052559,0.5,1,1853,0.8755,0.049
120000,13.0686,0.0755,100,0,1.49265,0.2,100,0.048559,0.001,1,1853,0.7755,0.049
1000000,13.0364,0.087,100,0,1.4961,0.2,100,0.025766,0.001,0,0,0.827,0.026
2000000,6.5364,0.187,100,0,0.9961,0.4,100,0.065766,0.001,1,1922,0.887,0.026
3000000,0.0364,0,100,0,0,0,100,0.025766,1,0,0,1.237,0.026
4000000,9.7664,0.787,100,0,0.1361,0.8,100,0.029766,1,1,1422,0.287,0.026
5000000,9.7664,0.787,100,0,0.1361,0.8,100,0.028766,1,1,2422,0.987,0.026
6000000,1.5764,0.787,100,0,0.2711,0.6,100,0.032766,1,1,2422,0.887,0.026
7000000,2.0364,0.587,100,0,0.2461,0.6,100,0.034766,1,1,2922,0.987,0.026
8000000,1.5364,0.787,100,0,0.4961,0.5,100,0.029766,1,1,1922,0.787,0.026
9000000,3.4364,0.087,100,0,0.0961,0.6,100,1,1,0,0,0.487,0.026
10000000,10.0364,0.287,100,0,0.9861,0.4,100,0.265766,0.5,1,922,0.787,0.026
11000000,10.0364,0.787,100,0,0.9861,0.5,100,0.029766,0.5,1,1922,0.887,0.026
12000000,13.0364,0.087,100,0,1.4961,0.2,100,0.025766,0.001,1,1922,0.787,0.026
100000000,13.0105,0.09625,100,0,1.498875,0.2,100,0.0074325,0.001,0,0,0.83625,0.0075
200000000,6.5105,0.19625,100,0,0.998875,0.4,100,0.0474325,0.001,1,1977.5,0.89625,0.0075
300000000,0.0105,0,100,0,0,0,100,0.0074325,1,0,0,1.24625,0.0075
400000000,9.7405,0.79625,100,0,0.138875,0.8,100,0.0114325,1,1,1477.5,0.29625,0.0075
500000000,9.7405,0.79625,100,0,0.138875,0.8,100,0.0104325,1,1,2477.5,0.99625,0.0075
600000000,1.5505,0.79625,100,0,0.273875,0.6,100,0.0144325,1,1,2477.5,0.89625,0.0075
700000000,2.0105,0.59625,100,0,0.248875,0.6,100,0.0164325,1,1,2977.5,0.99625,0.0075
800000000,1.5105,0.79625,100,0,0.498875,0.5,100,0.0114325,1,1,1977.5,0.79625,0.0075
900000000,3.4105,0.09625,100,0,0.098875,0.6,100,1,1,0,0,0.49625,0.0075
1000000000,10.0105,0.29625,100,0,0.988875,0.4,100,0.2474325,0.5,1,977.5,0.79625,0.0075
1100000000,10.0105,0.79625,100,0,0.988875,0.5,100,0.0114325,0.5,1,1977.5,0.89625,0.0075
1200000000,13.0105,0.09625,100,0,1.498875,0.2,100,0.0074325,0.001,1,1977.5,0.79625,0.0075
