lucode,load_N,eff_N,crit_len_N,proportion_subsurface_n,load_P,eff_P,crit_len_P,usle_c,usle_p,lulc_veg,root_depth,Kc,Factor
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0.1,100,0,1.5,0.2,100,0,0.001,0,0,0.84,1
2,6.5,0.2,100,0,1,0.4,100,0.04,0.001,1,2000,0.9,1
3,0,0,100,0,0,0,100,0,1,0,0,1.25,1
4,9.73,0.8,100,0,0.14,0.8,100,0.004,1,1,1500,0.3,1
5,9.73,0.8,100,0,0.14,0.8,100,0.003,1,1,2500,1,1
6,1.54,0.8,100,0,0.275,0.6,100,0.007,1,1,2500,0.9,1
7,2,0.6,100,0,0.25,0.6,100,0.009,1,1,3000,1,1
8,1.5,0.8,100,0,0.5,0.5,100,0.004,1,1,2000,0.8,1
9,3.4,0.1,100,0,0.1,0.6,100,1,1,0,0,0.5,1
10,10,0.3,100,0,0.99,0.4,100,0.24,0.5,1,1000,0.8,1
11,10,0.8,100,0,0.99,0.5,100,0.004,0.5,1,2000,0.9,1
12,13,0.1,100,0,1.5,0.2,100,0,0.001,1,2000,0.8,1
100,12.87575,0.1497,100,0,1.562125,0.17515,100,0,0.001,0,0,0.7903,0.2485
200,6.37575,0.2497,100,0,1.062125,0.37515,100,0.0387575,0.001,1,1751.5,0.8503,0.2485
300,0,0.0497,100,0,0.062125,0,100,0,1,0,0,1.2003,0.2485
400,9.60575,0.8497,100,0,0.202125,0.77515,100,0.0027575,1,1,1251.5,0.2503,0.2485
500,9.60575,0.8497,100,0,0.202125,0.77515,100,0.0017575,1,1,2251.5,0.9503,0.2485
600,1.41575,0.8497,100,0,0.337125,0.57515,100,0.0057575,1,1,2251.5,0.8503,0.2485
700,1.87575,0.6497,100,0,0.312125,0.57515,100,0.0077575,1,1,2751.5,0.9503,0.2485
800,1.37575,0.8497,100,0,0.562125,0.47515,100,0.0027575,1,1,1751.5,0.7503,0.2485
900,3.27575,0.1497,100,0,0.162125,0.57515,100,0.9987575,1,0,0,0.4503,0.2485
1000,9.87575,0.3497,100,0,1.052125,0.37515,100,0.2387575,0.5,1,751.5,0.7503,0.2485
1100,9.87575,0.8497,100,0,1.052125,0.47515,100,0.0027575,0.5,1,1751.5,0.8503,0.2485
1200,12.87575,0.1497,100,0,1.562125,0.17515,100,0,0.001,1,1751.5,0.7503,0.2485
10000,12.9755,0.1098,100,0,1.51225,0.1951,100,0,0.001,0,0,0.8302,0.049
20000,6.4755,0.2098,100,0,1.01225,0.3951,100,0.039755,0.001,1,1951,0.8902,0.049
30000,0,0.0098,100,0,0.01225,0,100,0,1,0,0,1.2402,0.049
40000,9.7055,0.8098,100,0,0.15225,0.7951,100,0.003755,1,1,1451,0.2902,0.049
50000,9.7055,0.8098,100,0,0.15225,0.7951,100,0.002755,1,1,2451,0.9902,0.049
60000,1.5155,0.8098,100,0,0.28725,0.5951,100,0.006755,1,1,2451,0.8902,0.049
70000,1.9755,0.6098,100,0,0.26225,0.5951,100,0.008755,1,1,2951,0.9902,0.049
80000,1.4755,0.8098,100,0,0.51225,0.4951,100,0.003755,1,1,1951,0.7902,0.049
90000,3.3755,0.1098,100,0,0.11225,0.5951,100,0.999755,1,0,0,0.4902,0.049
100000,9.9755,0.3098,100,0,1.00225,0.3951,100,0.239755,0.5,1,951,0.7902,0.049
110000,9.9755,0.8098,100,0,1.00225,0.4951,100,0.003755,0.5,1,1951,0.8902,0.049
120000,12.9755,0.1098,100,0,1.51225,0.1951,100,0,0.001,1,1951,0.7902,0.049
1000000,12.987,0.1052,100,0,1.5065,0.1974,100,0,0.001,0,0,0.8348,0.026
2000000,6.487,0.2052,100,0,1.0065,0.3974,100,0.03987,0.001,1,1974,0.8948,0.026
3000000,0,0.0052,100,0,0.0065,0,100,0,1,0,0,1.2448,0.026
4000000,9.717,0.8052,100,0,0.1465,0.7974,100,0.00387,1,1,1474,0.2948,0.026
5000000,9.717,0.8052,100,0,0.1465,0.7974,100,0.00287,1,1,2474,0.9948,0.026
6000000,1.527,0.8052,100,0,0.2815,0.5974,100,0.00687,1,1,2474,0.8948,0.026
7000000,1.987,0.6052,100,0,0.2565,0.5974,100,0.00887,1,1,2974,0.9948,0.026
8000000,1.487,0.8052,100,0,0.5065,0.4974,100,0.00387,1,1,1974,0.7948,0.026
9000000,3.387,0.1052,100,0,0.1065,0.5974,100,0.99987,1,0,0,0.4948,0.026
10000000,9.987,0.3052,100,0,0.9965,0.3974,100,0.23987,0.5,1,974,0.7948,0.026
11000000,9.987,0.8052,100,0,0.9965,0.4974,100,0.00387,0.5,1,1974,0.8948,0.026
12000000,12.987,0.1052,100,0,1.5065,0.1974,100,0,0.001,1,1974,0.7948,0.026
100000000,12.99625,0.1015,100,0,1.501875,0.19925,100,0,0.001,0,0,0.8385,0.0075
200000000,6.49625,0.2015,100,0,1.001875,0.39925,100,0.0399625,0.001,1,1992.5,0.8985,0.0075
300000000,0,0.0015,100,0,0.001875,0,100,0,1,0,0,1.2485,0.0075
400000000,9.72625,0.8015,100,0,0.141875,0.79925,100,0.0039625,1,1,1492.5,0.2985,0.0075
500000000,9.72625,0.8015,100,0,0.141875,0.79925,100,0.0029625,1,1,2492.5,0.9985,0.0075
600000000,1.53625,0.8015,100,0,0.276875,0.59925,100,0.0069625,1,1,2492.5,0.8985,0.0075
700000000,1.99625,0.6015,100,0,0.251875,0.59925,100,0.0089625,1,1,2992.5,0.9985,0.0075
800000000,1.49625,0.8015,100,0,0.501875,0.49925,100,0.0039625,1,1,1992.5,0.7985,0.0075
900000000,3.39625,0.1015,100,0,0.101875,0.59925,100,0.9999625,1,0,0,0.4985,0.0075
1000000000,9.99625,0.3015,100,0,0.991875,0.39925,100,0.2399625,0.5,1,992.5,0.7985,0.0075
1100000000,9.99625,0.8015,100,0,0.991875,0.49925,100,0.0039625,0.5,1,1992.5,0.8985,0.0075
1200000000,12.99625,0.1015,100,0,1.501875,0.19925,100,0,0.001,1,1992.5,0.7985,0.0075
