1,2,3,4
12,1.978183,0.29461,0.0012028
13,2.12982,0.29206,0.0011923
14,-0.351238,0.42597,0.001739
15,-80.970151,58.79299,0.2400214
16,2.96616,0.28302,0.0011554
23,0.277871,0.13035,0.0005321
24,-1.598005,0.23596,0.0009633
25,-5.229981,1.2697,0.0051835
26,1.278972,0.11052,0.0004512
34,-1.422282,0.23587,0.0009629
35,-3.285867,0.54935,0.0022427
36,1.518051,0.11513,0.00047
45,-3.134961,1.33008,0.00543
46,2.293788,0.29657,0.0012107
56,4.047865,1.29729,0.0052962
3.146,-0.026615,0.07674,0.0003133
3.141,0.190139,0.08749,0.0003572
7006,-0.187436,0.07059,0.0002882
7001,0.004739,0.08236,0.0003362
