CN,PLT_CN,PREV_TRE_CN,INVYR_A,STATECD_A,UNITCD_A,COUNTYCD_A,PLOT_A,SUBP,TREE,CONDID,AZIMUTH,DIST,PREVCOND,STATUSCD,SPCD,SPGRPCD,DIA,DIAHTCD,HT,HTCD,ACTUALHT,TREECLCD,CR,CCLCD,TREEGRCD,AGENTCD,DECAYCD,STOCKING,WDLDSTEM,VOLCFNET,MORTYR,SALVCD,STANDING_DEAD_CD,PREV_STATUS_CD,PREV_WDLDSTEM,TPA_UNADJ,GroupCount,sum_TPA_UNADJ,TPHA,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR_B,STATECD_B,UNITCD_B,COUNTYCD_B,PLOT_B,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,STAND,MARKER1,MARKER2,MARKER3,DISTANCE,DISTA,MARKER
68332532010538,58171085010538,0,2000,42,0,61,945,1,10,1,,,0,2,541,36,6,1,58,2,53,4,NaN,NaN,NaN,NaN,2,,,2.470631,0,0,1,,,6.018046,37,498.456646,1231.7112950983,58168532010538,1320545010538,0,2000,42,0,61,945,1,,2000,6,27,NaN,1,115,3,0,40.44808,-78.09453,760,NaN,NaN,2,2,M221Ac,4205,0,198,NaN,NaN,3.44943435878755,3.44943435878755,198
68364711010538,58227715010538,0,2000,42,5,49,1767,3,12,1,,,0,2,541,36,5.9,1,46,3,23,4,NaN,NaN,NaN,NaN,3,,,1.421856,0,0,1,,,6.018046,24,213.38034,527.273489157,58168532010538,1320556010538,0,2000,42,5,49,1767,1,,2000,9,19,NaN,1,1,3,0,42.04452,-79.82215,1390,NaN,NaN,2,, 221Fa,4205,0,199,NaN,NaN,5.19375980211483,5.19375980211483,199
68334826010538,58173404010538,0,2000,42,5,63,1663,2,3,2,,,0,2,541,36,5.3,1,34,1,34,3,NaN,NaN,NaN,NaN,1,,,1.75145,0,0,1,,,6.018046,20,189.308156,467.7899188838,58168532010538,1320558010538,0,2000,42,5,63,1663,1,,2000,10,10,NaN,1,1,5,0,40.44326,-79.02595,1340,NaN,NaN,2,,M221Bb,4209,0,200,NaN,NaN,4.36750956578963,4.36750956578963,200
68386730010538,58203355010538,0,2000,42,5,129,1701,1,6,1,,,0,2,541,36,9.4,1,75,1,75,3,NaN,NaN,NaN,NaN,1,,,10.469701,0,0,1,,,6.018046,10,129.127696,319.0809932008,58168532010538,1320562010538,0,2000,42,5,129,1701,1,,2000,7,31,NaN,1,116,3,0,40.1372,-79.35465,1750,NaN,NaN,2,,M221Bb,4218,0,201,NaN,NaN,4.74635124735455,4.74635124735455,201
68359456010538,58207422010538,0,2000,42,6,35,800,4,3,1,,,0,2,541,36,15.2,1,81,1,81,4,NaN,NaN,NaN,NaN,1,,,30.251049,0,0,1,,,6.018046,17,102.306782,252.8051736611,58168532010538,1320567010538,0,2000,42,6,35,800,1,,2000,8,30,NaN,1,117,4,0,41.21904,-77.56217,630,NaN,NaN,2,, 211Gb,4205,0,202,NaN,NaN,2.85261655182465,2.85261655182465,202
68363558010538,58226504010538,0,2000,42,6,47,335,1,9,1,,,0,2,541,36,7.2,1,72,1,9,3,NaN,NaN,NaN,NaN,1,,,1.901911,0,0,1,,,6.018046,28,513.241468,1268.2453295014,58168532010538,1320568010538,0,2000,42,6,47,335,1,,2000,11,13,NaN,1,1,7,0,41.50204,-78.6203,1900,NaN,NaN,2,, 211Ga,4205,0,203,NaN,NaN,3.92762369859486,3.92762369859486,203
68364061010538,58227017010538,0,2000,42,6,47,374,4,5,1,,,0,2,540,36,8.5,1,55,3,33,4,NaN,NaN,NaN,NaN,4,,,0.876747,0,0,1,,,6.018046,40,309.669076,765.2077702498,58168532010538,1320568010538,0,2000,42,6,47,374,1,,2000,7,10,NaN,1,1,4,0,41.44375,-78.98725,1770,NaN,NaN,2,, 211Ga,4205,0,204,NaN,NaN,4.28819739985976,4.28819739985976,204
68341658010538,58180354010538,0,2000,42,6,81,256,3,4,1,,,0,2,541,36,5.4,1,57,3,57,3,NaN,NaN,NaN,NaN,1,,,1.900713,0,1,1,,,6.018046,37,360.562174,890.9671600627,58168532010538,1320571010538,0,2000,42,6,81,256,1,,2000,5,24,NaN,1,1,5,1,41.41294,-77.05977,1810,NaN,NaN,2,, 211Gb,4210,0,205,NaN,NaN,2.36665689616049,2.36665689616049,205
68341581010538,58180211010538,0,2000,42,6,81,1187,4,9,1,,,0,2,541,36,8.3,1,95,3,75,4,NaN,NaN,NaN,NaN,5,,,0.242536,0,0,1,,,6.018046,50,576.691244,1425.0328984862,58168532010538,1320571010538,0,2000,42,6,81,1187,1,,2000,6,13,NaN,1,1,9,0,41.47882,-76.88071,2120,NaN,NaN,2,, 211Gb,4210,0,206,NaN,NaN,2.19885383886787,2.19885383886787,206
68341583010538,58180211010538,0,2000,42,6,81,1187,4,10,1,,,0,2,541,36,8.8,1,90,3,11,4,NaN,NaN,NaN,NaN,5,,,0.110951,0,0,1,,,6.018046,50,576.691244,1425.0328984862,58168532010538,1320571010538,0,2000,42,6,81,1187,1,,2000,6,13,NaN,1,1,9,0,41.47882,-76.88071,2120,NaN,NaN,2,, 211Gb,4210,0,207,NaN,NaN,2.19885383886787,2.19885383886787,207
