"","DC0","DBH0","TPH0","DCt"
"1",2,6,1231.7112950983,6
"2",3,5.9,527.273489157,6
"3",1,5.3,467.7899188838,6
"4",1,7.2,1268.2453295014,6
"5",4,8.5,765.2077702498,6
"6",1,5.4,890.9671600627,6
"7",5,8.3,1425.0328984862,6
"8",5,8.8,1425.0328984862,6
"9",1,7.3,661.1115222717,6
"10",5,10.7,1349.3920416094,6
"11",3,6.2,1097.8732619836,6
"12",5,8.2,861.225374926101,6
"13",4,9.8,861.225374926101,6
"14",5,10.2,861.225374926101,6
"15",4,8.4,3054.3991108227,6
"16",1,5.9,297.417851366,6
"17",4,6,104.0962479781,6
"18",5,7.5,1097.8732619836,6
"19",5,10.7,1120.8227978537,6
"20",4,8.2,1150.5645829903,6
"21",2,8.7,846.354482357801,6
"22",5,5.1,846.354482357801,6
"23",2,7,846.354482357801,6
"24",2,6.6,1165.4354755586,6
"25",1,8.1,460.9976696173,6
"26",1,5.5,1357.4706849112,6
"27",3,6.1,1001.8556573073,6
"28",5,11.7,876.0962674944,6
"29",2,6.4,505.6103473222,6
"30",2,8.1,1959.0986369097,6
"31",3,5.1,1959.0986369097,6
"32",1,13.4,438.0481337472,6
"33",4,9.3,208.1924959562,6
"34",4,10,431.2558844807,6
"35",4,7.8,431.2558844807,6
"36",1,10.9,1565.6631808674,6
"37",2,5.9,1076.2101201488,6
"38",3,15.1,312.2887439343,6
"39",2,7.8,905.838052631001,6
"40",2,19,1402.0833626161,6
"41",4,10.3,1069.4178708823,6
"42",5,8.9,1069.4178708823,6
"43",4,6,431.2558844807,6
"44",3,9.9,780.0786628181,6
"45",5,5.4,786.8709120846,6
"46",4,13.2,497.5317040204,6
"47",2,6.9,431.2558844807,6
"48",2,6.1,1053.2605842787,6
"49",4,5.1,1913.1995651695,6
"50",1,7.5,1913.1995651695,6
"51",5,7.3,557.0152742936,6
"52",4,14.6,371.7723142075,6
"53",3,15.1,578.6784161284,6
"54",4,10.8,578.6784161284,6
"55",5,5.9,2440.4730543265,6
"56",3,9,780.0786628181,6
"57",3,14.9,780.0786628181,6
"58",3,5.1,1008.6479065738,6
"59",2,6.8,1231.7112950983,6
"60",2,6.2,1231.7112950983,6
"61",3,6.3,1231.7112950983,6
"62",2,5.5,1231.7112950983,6
"63",4,6,1231.7112950983,6
"64",2,5.7,690.8533074083,6
"65",1,5.6,876.096267494401,6
"66",2,5.4,876.096267494401,6
"67",5,14.7,163.5798182513,6
"68",1,5.7,512.4025965887,6
"69",4,8.7,1749.6197469182,6
"70",1,5,482.6608114521,6
"71",3,5.9,482.6608114521,6
"72",3,13.5,1068.131476847,6
"73",3,15.7,674.6960208047,6
"74",3,5.2,1246.5821876666,6
"75",4,6.6,2869.1561507366,6
"76",3,15.7,512.4025965887,6
"77",3,6.9,793.6631613511,6
"78",3,13.1,504.3239532869,6
"79",5,15.6,1402.0833626161,6
"80",3,6.5,1402.0833626161,6
"81",1,6,1439.9037910545,6
"82",2,7.9,861.225374926101,6
"83",3,12.2,1210.0481532635,6
"84",1,7,1009.9343006091,6
"85",3,19.6,1091.0810127171,6
"86",2,6.9,727.3873418114,6
"87",1,10.4,727.3873418114,6
"88",2,6.3,727.3873418114,6
"89",3,6.4,356.9014216392,6
